address,tranAtt,refundAtt,diff
0xe9fb805561596a3196869e840064f1f6020a47a6,22770,22770,0
0x137bd809fcc9c91e4c2ec9c4269571794cdfa8d0,9900,9900,0
0x6cc7211a9c4508701936b81b98fb670825d3e5f4,3300,3300,0
0x3ab2b46e78d6bad1e362826260b20c6a10682ff8,7326,7326,0
0x02e4facf17988b6aca7efa867b2b571cb64f933f,19800,19800,0
0x00ed73ebe9e8165eb9f9e9acfeed4090b9dbb44e,1320,1320,0
0x15e11368fa2c6dd83ad9b51bd393334673607a03,5280,5280,0
0xfb51b423a3e5eeec743a9c53f942222ba18b946a,6798,6798,0
0xf4050c9698c50590ce47c38065f34eaf5d845916,6600,6600,0
0xc6bb7459b9ed393570ffc23862e1eb3efaf8fba1,19800,19800,0
0x12a8923ab95e2727a175916c7736c0b3f42ad7c3,1452,1452,0
0x5ea1462a47b72e203defbfff68f105ffba6da906,3484.8,3484.8,0
0x1ee628df5c59b5a09644e32deaefc260b4966971,4191,4190,1
0x4c106d1e610bd76dfe34e15c209d4a4affccecf6,73260,73260,0
0x47b340a7cd29bfa96a17c1685f61a67f0c7de422,1631.52,1631.52,0
0x37d91c2d47f5912af25e72b4fc4c830f50222f0f,1980,1980,0
0xce3e7f870147fab82cdf045bb5581bfeedaa76ff,5940,5940,0
0x82e84b0b35728e8f518eb644b5da08a2f11b6c96,321.42,321.42,0
0xb1647b8b3d011678010a1ff28492e174497624f6,2640,2640,0
0xbb44cf3487951b9af87e4d3130016e67cc544a61,9464.598,9464.598,0
0x8c6545f225561426f7b4377365984123a87c3a7c,3300,3300,0
0x9cb8af2e0ae259ea0bf5b44bc7dd7715da918ccc,6600,6600,0
0x5f5f57555353613927a1f7e0b3ea4b552c08cfbb,9900,9900,0
0x432add28a29545448dac0275993dbbd9344738da,5940,5940,0
0x70bf07e3fbbd352d9f632dbc242e27d6789b41ad,1320,1320,0
0x70399deefb6006e3c9071c353a6f93b8724e8906,683.892,683.892,0
0x8df7c12f05b1bb89e8ea7bb9f5973f8622f5cbfc,1782,1782,0
0x04a2f86324f4ce57e9b65e36403131face6a3fa5,6600,6600,0
0x4abeacf2246a14270c5391f014295750c372d1f8,15173.4,15173.4,0
0xfbeb09b1ee3c5fe5838676197a9e1eccf3ff290e,60324,60324,0
0xaf5958925efb6a7175bfd9cc609bc561476d47ea,10890,10890,0
0xc91ab57ef5f66c3f117540472f62178f9b565073,4224,4224,0
0x535d923b60eda67a864f2c7435376b9cd61fdcc2,2204.994,2204.994,0
0x99e7f261c017bf4190545903d419b7151d5747a5,7920,7920,0
0xcfcf34302a9ed0d0ec5d6e830bcf06b612251d72,23628,23628,0
0x6bbaa5ae12841a21183eecedd63ce83027473a62,97701.648,97701.648,0
0x6f13cf830f4c42f269fc37f261ccedae57bf4b7e,5280,5280,0
0x8337233db946c034802316b5c812a708f150b9f4,2541,2541,0
0x6f40383f2db2515e0031414f8b6de77b354637b5,561,561,0
0x9ab6562c0f1fd293acc1f9bfc10900723ce3095e,620.4,620.4,0
0x71b15f82378aedbc4a918eb84f34450d53ba6f64,15586.824,15586.824,0
0xc3bc30618bce448249f6a3c062f69187203a3c8d,18480,18480,0
0x62c848c5346de55efcfc51fca34755204f1a7002,2620.2,2620.2,0
0xfcee6fbf4a8de1c16222b251d25b184fc8d72ec5,19800,19800,0
0xb907526fceefe4edf9d692b650f3abf57750cefa,818.4,818.4,0
0x8203febbbe7420ca106541f894b442b23921aaa5,6600,6600,0
0x00cc7e10990a2bc20794bf6c25f0d26676667f34,16038,16038,0
0x4927f4c7388f753759b8811e64737750c723d43a,16698,16698,0
0x34a63917897fc2b6f5525001d077a8781af3e96a,19074,19074,0
0x88bd2115cf5c48a6645edc9fbb604dde6f3381a0,29700,29700,0
0xe46028f1227dcd4278af477550c75165522156b0,15180,15180,0
0x9488df203717bb2c84d79dd160315deae0b7fbc6,3960,3960,0
0x77f22cb89ae34993df413f940c34d04bc0649cf7,2508,2508,0
0x673ac902677f3849884db1f17265048d35325d57,1980,1980,0
0xbcfc42dba87efad51d2fac347377a96e9413a048,11220,11219.9999,0.0001
0xda693f8eaaddf59caa5c4d813eafc26ce3640ea4,10164,10164,0
0x3e86ae2079bd569300e0037137c140f1301d26dc,5280,5280,0
0xa1262c7f16acc148719675c92591d608c61eb166,3300,3300,0
0x85cb06feb0eda87b1deb7f023120b7340f270be2,9246.6,9246.6,0
0x1cf62e833a9b983ae6886e144be8f6c964526392,1320,1320,0
0xa9466705ae3a08a28ed5ff646f8a43b4fc9f4443,13266,13266,0
0xa5dde8388e3c5816311af7839f4a60336cf57a65,6600,6600,0
0x60de8b3797fadc712f961e0871e255659939b963,8580,8580,0
0x371e180e2abaad698591a08a03719e77fc062148,3009.6,3009.6,0
0xa2556829bba1e2d534cde300c00e6c196012f9ba,9372,9372,0
0xc7dabad427e11de0b00dfffb849cc30b36766fec,4026,4026,0
0x7bf535579b55641051b17d6d54ebf0c125c1dc52,3240.6,3240.6,0
0x109b91033eddfec5797a27114319d95c4c95c0d9,1320,1320,0
