address,eth,att
0x0ecae2c8a35f68b7c974f4c237ae0919d6ba776b,1,660
0x56b291561714906e74023b36ef0ee322ec218f90,13,8580
0x90da381ce0d0cf512e64c154ea7603cd56c0b7ea,27,17820
0x1a88f8c1dcc5c1d4bed42b73ad8b2c7dcb0fb786,4.71,3108.6
0x087396b991c6ce0c0f9812a88047bb97de91ae50,7.8,5148
0xb1647b8b3d011678010a1ff28492e174497624f6,4,2640
0x87069cd4242f430292c79645d2a7d2e29f02ab64,10,6600
0xe446b2db2ad372356c0687e803bea38913fe360b,10,6600
0xe20b5690e137d51e59bafb0fe5503b39a9e1b72c,1.86,1227.6
0x9d0dea2f55acf2fb28e0ac64a5f1f63d80640b2d,1.41,930.6
0x1bcdbb147910afb02719b703cad48955077b5131,4.8,3168
0x96d9cca8f55eea0040ec6eb348a1774b95d93ef4,70,46200
0xa2d9c639a5c27937453d36c0caaf7765dd4025b6,5.04,3326.4
0xacacc26b44fdb92546e95e5eaa2a1a63fbc79ad8,18,11880
0xff0cd7a01c3a18f919060f964b8457dd30dcb77d,1.45,957
0xa5ac33472975d6a787bc66c52d59649f2b19e689,5,3300
0xa2b72004de4358ba489452a03c8e4d4d1e4f44bb,434.526412388944015526,286787.43217670305024716
0x003ea3556bb0720913548a1e14e5e583269f4027,432.0000000675563,285120.000044587158
0xecb11b7b2e61ad61e084e60e4c298e92a7523de8,5,3300
0x32c90863b8f4924d752a003ff96ff6b3c025b684,3,1980
0xea2a3ad7b8627720cd40c86dcf00665b601d77a3,20,13200
0xfe8d488e4e3b613b23cde70a6a9382c34cdcd857,15.21,10038.6
0x937d2426bb29354777ca9ee3642c6d6d05dd81eb,4,2640
0x929c57bddc306357edb10ff43c9b9d259993f8f5,4.6,3036
0x407e82b074d4f58c84066fb681e80e843fbf389d,2.1,1386
0xff2231aa76dc331e0a652af4b61bdae3363a4c49,1.5,990
0x3ef76466a22d69a6cd4b2b511aecec5ec41bb819,26,17160
0x91fd839fd572eaa899000fc9aac741cda091714d,3.51,2316.6
0x882aeb41d6e09640bcafe8d6f05b0b15d5a52d59,37.6,24816
0xc1b7017ef6e5f00ed2dc12671d0b306168a5ffba,3,1980
0x7f182bb43ad2d153f0fceb144f7e1310f1967534,51.8,34188
0xf83a51f004370852041ace197e7ff74d9ca7d789,17,11220
0x8dc90ce565d0be5c392621a56080f58a3456415e,9.7,6402
0xc86742607f712394ac5bcb78c39c9b1396d00777,20,13200
0xbc57d3eaa7f72399ee1c760e37f4126bba38f120,1.3,858
0x4e706e911018be7c3bb6e87701d23374344e04a9,15,9900
0x2fddd1b6ccb971f72535a05ce926d90b2dc59ebe,3,1980
0x18bb4f885e15652f81dde43ac510887ed2e313b8,5,3300
0x74f6000c416e19c8ada300eaab43690baf747d56,5,3300
0x8829883d878282c111319ee0a5e172faa4e7b4c1,9.9,6534
0x3291a1c562d0912ddb3dc9bcb407da76f47beb14,4,2640
0xcc0db916e4fea530b8d8619e5d5d55cd0d58e12a,1,660
0x1ee628df5c59b5a09644e32deaefc260b4966971,6.35,4191
0x09c2065a5c67dcc4807c547bac47b353b5f0ee98,60,39600
0xc91ab57ef5f66c3f117540472f62178f9b565073,6.4,4224
0x2029d2126b7f9cd90a6b7e3e5546f4a2fba4e92f,15,9900
0x8d629c20608135491b5013f1002586a0383130e5,20,13200
0x3f1a01badbdda7eec4e0dc16ce46e27b9958d7a2,9.59,6329.4
0x21468763f7c8035e68bcd1954366824d1bcdd13a,20.96,13833.6
0x2c827ee8c98ea8d6ec4aa5480b50d87f08853204,1.8,1188
0xec286f8be15c3acbcb9eda7a5c4393fd18f44bba,40,26400
0x891a5ad883766ed8c1101651330a6557d5685043,5,3300
0xab3995d686279ad9885eb2cfe6e32c728a7afb56,5,3300
0x94540fcffbfb4134ebe22faa9a4228eb726e8ded,9.6,6336
0xead56d57cddd3c1f004a1f194c1c2c519a7ffd54,18,11880
0xd72075786bfd62112f16281517b1dd9815da7a94,1.5,990
0x7d1a2f6b39fe8baa9ea3c68a1f599231edb433c3,1.2,792
0xce3e7f870147fab82cdf045bb5581bfeedaa76ff,9,5940
0xfc2ff6c31c3a4cd32e193cd61ad376cc818f32e1,11.5,7590
0xb504d59519800b88f51b1e0c7972e652802efe32,200,132000
0x925afb427e147947a4a6a5c3c63f3bcebe316e0e,6,3960
0x17181b6127a1c11c9d86380860058bdca4fdb09c,27.3,18018
0x18e68ba0a33400311ed4e6bfbd42bc5017735ea9,331,218460
0xabfd811636fbbc9bfac9ee6d3bcb85ec88979a86,2,1320
0x2a7e1c4c4734e720b0c7057753d7d985043ea3fa,4.3,2838
0x28918357da4de97dbf3adb205e7ea18be1ff762d,1.93,1273.8
0x884a9205ae3978d9ef74590d0dd4e3eca0fce215,0.46,303.6
0x971985149a04f323759e8362ff3bc4d73dd16b2b,5,3300
0x1e582de78c1cc083a3390a464cfd5e8a591c26dc,6,3960
0x85aab7eaeb552c4e32eac270d0558b8a8d59b383,3.84,2534.4
0x3da78ca393937a8684f225417561f58c8401c5dd,40,26400
0x70eb5022e5f450e685eb8dfc97dc7c2604934815,5,3300
0xb5331318bf5a573be2f043a91daed22615374f33,9.98,6586.8
0xfe58cfbf50f5e4db8230b283184437b29fe11ca2,19.2,12672
0x1dc8ae0fce713795a35bff158f838102ce70af5f,77.382,51072.12
0xa2781fbf8555cfae3f98a213ee60af17295ad156,1.8,1188
0x0164f8914a464bf3b0ff065a517984250cebbaf7,10,6600
0x1b29ae06240a49e282696847837baef4428686ee,323,213180
0x633dbeccacee548876db3444dd0572dc1a33d27e,5,3300
0xbacd38b636407db220b50449a5833e1b4f92fbbf,20,13200
0x3bc56b90788e9a6196a8cd585cc38252a23e454a,20,13200
0x75fbfdf7b481a7be5fa0939b18dda6d3837e8cea,5,3300
0x541f72061b493d9df4e2e93de2f743d23168bdd3,0.45,297
0x6e6913c4edb2420f8bca37381b50142b9fb877fe,10,6600
0xfee1005e198e4895252eed9b842661fb4893f816,22,14520
0xdc07d74e5e133f93187dee39062dfa0aa98c582d,2,1320
0x6d60b7205665845ff5e0dc5d81cc796b7601a84b,4.79,3161.4
0xbfe8926477a1b17ff5f37743e508b09bb14b2110,97.9,64614
0x121231fa85c0453947732b1e902dfafa04c71563,1.17,772.2
0x5387130c8e7270bb702d5cd4c3a6944a6a0821e6,2,1320
0x83cd52ec1be70361e218a2196e04c22d8a4165b6,6,3960
0x0db5d1d9ea7bee55f0f7796a157f2913ea33f63c,4.72,3115.2
0xeb6b552789cd82140fe49440b79c599140efc3e7,29.99,19793.4
0x756761acef35a54b948cc605af0d8e9f48973682,20,13200
0x6ee8a208ae8ffa2814af676dee20acfb74ddf95b,5,3300
0x29c9861cac7a7a24a5b275cf655281bc511a0e45,51,33660
0xbddd5076715f665a4037b48b91bd96fff7a4048d,63.856,42144.96
0xac71c1fccb8bd0f3af2b6beb506431fafb55e0a8,0.42,277.2
0x83bac67fe858118e944ead3f1e893e3facfe4876,3.4,2244
0x0a3b0594f80734d2b2060a8fae9f78ce8733942a,2,1320
0xcff8cdb39327c62adbe8c8f280f50a56e31d796f,8,5280
0x6d6c7885cec20e0f8b929fe7188e39dcc80d57ef,1.9,1254
0xe6b6d1d438c1eb0dc539da51e11852cbb13e0b00,32,21120
0x0085ecfa30ecc1378f4d884115170817ac7ebecd,10,6600
0x3d2e75b1febe9c64651c57af9e93cf66fa86ac9e,10,6600
0xf2907692c9f3ff410a5f93d8295302126869b985,275.16028346,181605.7870836
0xd1a8b3ef24154df24d1b4bcf3baacd7fcaabac59,100,66000
0x765b4d4204155387918c7457a5d949aebfc9ea5e,48,31680
0x1ecf0b798ebb43477b5c657963332d640871a0ec,23,15180
0x72e86664fbfb53710a0e4c3f52c72fee4ec92488,10,6600
0xefcef7f134e8f24890ac57b333a8dc710d0e6b5f,60,39600
0xfb13845443f258f44fe802992dabf8ee4137ab6e,35,23100
0xbbed43a9e00859d23cb4c3cbfceb5a45f06be36d,16.8,11088
0x0064263660518679abe582b9a45892527d58d7a4,10,6600
0xb4c48992800c945a20343780e47fb375872a6749,80,52800
0x39bae30ba03d0058650255bfd2dc4a3fea1ec4e7,4.7,3102
0x74303b81beda2874e4a918a5ea0f292ae89794cc,1.492,984.72
0xcedc93efa1dd364460c3d537e8cd5d8472d38078,0.9,594
0xfd26f25d6588b752a90e600aff038a654d64a42c,10,6600
0xee96b16d4a7c310b1ce70b0340497f81ecff7cf4,23,15180
0x725484fb4d17e992d26b8c9919e887d1c85a1e64,5,3300
0xcca40ad159b4fbea569a9ae71d0273164527dcae,25,16500
0x6e678670b77ced34717458dc804380e0027d2c78,60,39600
0x28d67cca7745e287153c274775739598ace9c0a8,7,4620
0xb0b480efd749c22f1258029352f4408c4c61705d,19.54,12896.4
0xf9fd7c19a7c5e437fd38bc2edba4cb66d1df602d,48,31680
0x6f5abf65e5040e5791b444afd38b2d3d0d822815,17.93,11833.8
0x115b65464043e9d0ad7422f95d1398b593c0efd3,20,13200
0x8c4c4005f0cb095aaa6bfd42e57fda5da256d343,11,7260
0x48c35e7ec3f59972ef2abb72391ee6a33336864b,31,20460
0xf46cf3dea9a29a8257214ded422ea0b07d71eb5b,2.435,1607.1
0x52329c4b6fb01095385808e7abd00bc58c6a1a72,4.5,2970
0x0bdba0f8141f94c0392779ba67582e0302905787,11.8,7788
0x86c33602fb2ac46d1d160c9b71612196580d057c,7.2,4752
0xfb9b642984f216d52dc6fbff0b30f19ecb83e361,1,660
0xdbbd6cfe7a6fc65a7a1e81a08bc71b1296941f48,1.35,891
0xb126eccff3bf55fd45ce1c5bceb48b202779afc4,1,660
0xfbeb09b1ee3c5fe5838676197a9e1eccf3ff290e,91.4,60324
0xbb80bb719b5908a8dca808c00438f834e1922584,30,19800
0x68db66dbb0e93a4ce337ad1a2d867778959385a6,9.7,6402
0x72929d048a1243ea88ab1f948e3c78d51b11b5e5,10,6600
0x9da8e09f81d362e6b3b3834005c6d8a5ac494d7c,12.47,8230.2
0xf31735c11cfb924d01c0018abb34e1eb091cc6b7,6,3960
0x25b3bb3f9fa85a7866feaa1cc9f31a8d47becd27,10,6600
0xbacfeee10c263c4a23b8d980cc92fbf571fcd7d4,0.25,165
0xca78d55f4122d0639f31df3a9746b465073dab30,1.79,1181.4
0x1a389643598c685cff6271bce6cf5867a4a45829,2.977,1964.82
0x757f2039dba62d44a82405899694c82985cbb347,1,660
0x0673e9b46da3509da066af87d5f2094b3f4f3126,160,105600
0x8cbb638e8af60950a9b979385e81192c0e984cf8,2,1320
0x2f8286c0fdda37379235a5bbecb588241756e71c,2.6,1716
0xf195c9d86267f25bb71d4ad86a070cf3df2a6103,3.5,2310
0xe0b2b45fcad2d5b9e0da3c1e5e26295ac6562982,13,8580
0xd65e728b2219e34dc04a9fc96aeea4a19cb2b110,10,6600
0x38c09b946772bdd2f92f4d65033b2d8a1239cfe8,0.95,627
0xfed3f1b81b8e88a9081227315a5fb7443124b81f,7.4,4884
0x190c6493796ead17e6c5a28bcea5a55c0781c61e,24,15840
0x8cbb99d10c6533c8d40ce95037a5c28762ed363e,3.9,2574
0x688d2ef280a0054f27189ea7813471a0c453e928,1,660
0x12b49e191606db0b5f5bb8540e55a9792c0ffcad,60,39600
0x5509fa7c19f7d66ab66ef29b87e4b7e860208e9b,90,59400
0x0d9a8bb3b85392b2e0442defca482d72f01509a0,1.5,990
0x669a7ec3c8404a3bfb32c3cd20bc430b607c0c21,19.77,13048.2
0x95edcfc6d30ae64e51e1e354a6f3b572774e194f,30,19800
0xca112f3a2141271539d946878d155332445d4551,2.3,1518
0x3b5d0f9e9429da1da1849ec6e644ec9f9475de63,18.5,12210
0xa77ea6eca6f8ab076270cccda2dab6275f6f175f,13,8580
0xeef84203798d9707c61bf62f263990a1c46ed002,16.4,10824
0x61413367a7c98df57bf235034603046391ee0a61,2,1320
0x049920fafac95470624f01293a17729ca70aca52,10,6600
0xe0165837f8a82b5cd46f407bfd89fb58a51d74b5,10,6600
0x025107701002b084ff9f3954a8510a7a4de63b61,5,3300
0xe09332c7b1fe72b82975469f795332e922f41c96,10.5,6930
0xc3b74f74c0e76cb9304f1cc528607dd7d642b05c,1.5,990
0x76ac73667d7321e888f52f9062608cae7b04f638,1.42,937.2
0x9fb7563a1969f034e8feb83e499c967d31538e86,4.7779,3153.414
0x5aa6deabb1516952206ca689abf9262bf01d589f,4.2,2772
0x72bd3b28a219ec456edd4878587a197df693d432,28.7666666,18985.999956
0x7b944457fddba98bae9b0e08d73bc00871d3efb7,2,1320
0x419d7b7a74e2e218db399b927fee63d312d793a7,9.96,6573.6
0x655d2e4e997040752edeb3f12808300e46d14e10,60,39600
0xdbc89c9d250a678c98cf02a468d6b966e438d8e3,10.3,6798
0x0420a5073ab27ff76dd701c29eaa5fd2bbadb69a,4.4,2904
0x58f752716d61799e6403c346e98f5ab1892017ef,17.37,11464.2
0xc8ecb6c26eeba19c409a94dd86ad810c4ba90d69,4.95,3267
0x6f13cf830f4c42f269fc37f261ccedae57bf4b7e,8,5280
0xbb0f748fd8d5c315bcd03a55c737eadd8409491d,3.5,2310
0x74769983eb772d867b372b7f62af1bb8cae0b528,4.99,3293.4
0x2404a54d8b03b307d5c7b3ab0c425eac658fd496,2.78,1834.8
0x33f3863d83cc0f7672694a37fc8bc132c8df7439,4.8,3168
0xf57d20cc6d7c3f2a91e451f13a2b811cb06ba7cb,5,3300
0x8e5de5361cff532da9eba984ee75b2067294564d,10,6600
0xe1e15d0021004c6933089624667b867713122ee3,75,49500
0xc3bc30618bce448249f6a3c062f69187203a3c8d,28,18480
0x5b81d60fe7728c0e90e4dbd046985e92767f734c,19.1,12606
0x5bf4a79a0bec1abec595c706bd16b783d3e6a9dc,10,6600
0x97358aad9744ff4d91b95f54600111fd6a6868bf,1,660
0x555bdae8a05d8b58d25341e83e84fcc45b3e0154,24.2613,16012.458
0x04ae2ff50bf6437e3d854acaff41548648dc954d,10,6600
0x5a91efb0ca26a81f48b4620b7b4791f7f043b3dd,5,3300
0x2decf8bdb99c83c21af69bf7f9e6bd61c8c83138,10,6600
0xd5e01f7e66b16cf41022a0a01b69183f82425c8a,5,3300
0xa81ed12903e8951d602698178d83db7519e16dc6,3.3,2178
0x428bc25e23129adf4f3ae897b62944d4c87dd4f4,1.5,990
0x88d5a1d47478e78006ff7908f35afe86e2b59697,0.285,188.1
0x1acd6e71f00e241b0f776f4619ea1eb4920a0ca1,2.89,1907.4
0x3d30b9f9bf8305b6145c6687b7148a3a0e7ea35e,2.15,1419
0x36a5c21b4c469aab190e1860e618a38a05f11c26,5,3300
0xc5efe0f491aeb5d2e03143775f33135be0cb9a31,65,42900
0x4b1c7d17e235fa075e432653c9acbc2b2b4c2948,12,7920
0xd53e0f83ddb6fd7764b165deeab0933f0fc7b2d0,0.93,613.8
0x81cc65f9c675ef032f1e3b4512949c1e1fdb645a,7,4620
0x6968ced42dd9a5e4c5143ade19a6d076857c288e,191,126060
0x27d8519774c77bab85031463f236c702c7ee8bd7,13,8580
0x21f2b62bbc0851c2b58dbf5d8c66cec48818b4df,24.96,16473.6
0xb3e1245c8d9c194c702799504c2219a9535e5ae1,7,4620
